
Maryland Crime Rates 1960 - 2016

 
Maryland Population and Number of Crimes  1960 - 2016
												Forcible		Aggravated		Larceny-	Vehicle
Year	Population	Index	Violent	Property	Murder	Rape	Robbery	assault	Burglary	Theft	Theft
1980	4,192,211	277,949	35,735	242,214	399	1,681	16,461	17,194	71,183	152,144	18,887
1981	4,261,000	279,425	37,800	241,625	421	1,654	18,085	17,640	70,740	152,405	18,480
1982	4,265,000	256,428	36,254	220,174	432	1,596	15,377	18,849	60,547	142,903	16,724
1983	4,304,000	230,564	34,736	195,828	367	1,412	14,950	18,007	52,697	127,443	15,688
1984	4,349,000	226,780	34,455	192,325	354	1,640	13,097	19,364	51,484	123,567	17,274
1985	4,392,000	235,973	36,655	199,318	348	1,700	13,272	21,335	52,995	126,077	20,246
1986	4,463,000	250,008	37,177	212,831	401	1,944	13,569	21,263	55,593	132,904	24,334
1987	4,535,000	248,409	34,820	213,589	436	1,795	13,164	19,425	52,718	134,485	26,386
1988	4,644,000	264,923	37,466	227,457	449	1,721	13,994	21,302	54,735	141,509	31,213
1989	4,694,000	261,107	40,152	220,955	544	1,783	15,589	22,236	52,735	137,043	31,177
1990	4,781,468	278,782	43,940	234,842	552	2,185	17,394	23,809	53,549	147,407	33,886
1991	4,860,000	301,768	46,469	255,299	569	2,229	19,783	23,888	56,258	163,524	35,517
1992	4,908,000	305,503	49,085	256,418	596	2,278	21,054	25,157	55,520	165,244	35,654
1993	4,965,000	303,187	49,540	253,647	632	2,185	21,582	25,141	56,246	163,471	33,930
1994	5,006,000	306,496	47,457	259,039	579	2,035	20,147	24,696	52,234	168,608	38,197
1995	5,042,000	317,382	49,757	267,625	596	2,130	21,334	25,697	53,320	178,126	36,179
1996 	5,072,000 	307,461 	47,230 	260,231 	588 	1,905 	19,944 	24,793 	50,331 	173,817 	36,083 
1997 	5,094,000 	287,969 	43,127 	244,842 	502 	1,814 	17,157 	23,654 	47,918 	166,256 	30,668 
1998 	5,135,000 	275,527 	40,903 	234,624 	513 	1,714 	15,339 	23,337 	47,393 	159,019 	28,212 
1999 	5,171,634 	254,420 	38,447 	215,973 	465 	1,551 	13,636	22,795 	43,230 	147,296 	25,447 
2000 	5,296,486 	255,085 	41,663 	213,422 	430 	1,543	13,560 	26,130 	39,426 	145,423 	28,573
2001 	5,386,079 	261,600 	42,088 	219,512 	446 	1,449 	13,525 	26,668 	41,553 	145,934 	32,025 
2002 	5,450,525 	259,120 	42,015 	217,105 	513 	1,370 	13,417 	26,715 	39,765 	143,320 	34,020
2003 	5,512,310 	248,196 	38,778 	209,418 	525 	1,358 	13,302 	23,593 	38,641 	134,372 	36,405 
2004 	5,561,332 	241,258 	38,961 	202,474 	521 	1,317 	12,772	24,351 	36,704 	129,888 	35,882 
2005 	5,589,599 	237,852 	39,369 	198,483 	522 	1,266	14,378 	23,173 	35,922 	128,491 	34,070
2006 	5,615,727 	233,586 	38,110 	195,476 	546	1,178	14,375 	22,011 	37,457	127,497 	30,522
2007 	5,618,344 	228,858 	36,062 	192,796 	553	1,179	13,258 	21,072 	37,095	127,308 	28,393
2008 	5,658,655 	233,464 	35,385 	198,079 	493	1,127	13,201 	20,564 	38,828	133,922 	25,329
2009 	5,699,478 	215,920	33,625 	182,295	440	1,156	12,007 	20,022 	36,905	125,771 	19,619
2010	5,785,681	204,916	31,607	173,309	426	1,228	11,054	18,999	36,704	118,578	18,027
2011	5,839,572	195,663	28,817	166,846	399	1,200	10,342	16,876	35,823	114,951	16,072
2012	5,884,868	190,395	28,086	162,309	373	1,237	10,173	16,303	33,803	113,550	14,956
2013	5,938,737	186,153	28,235	157,918	384	1,179	10,048	16,124	31,950	112,551	13,417
2014	5,975,346	177,157	26,767	150,390	362	1,144	9,565	15,208	28,134	109,140	13,116
2015	5,994,983	170,732	28,185	142,547	538	1,209	10,111	15,819	26,432	102,701	13,414
2016	6,016,447	165,845	28,400	137,445	481	1,266	10,289	15,874	24,692	100,919	11,834
